| NO\_HEADER | NO\_HEADER | NO\_HEADER |
| بناءً على القائمة الرئيسية والإجمالي النهائي الم....docx&#9;-1&#9;2026-03-28 08:06:59 اريد منك ان تكتب لي امر تلقين. لجيميناي بحيث يكون....docx&#9;-1&#9;2026-03-28 08:06:58 برامج الدراسات العليا السعودية المعتمدة␊.docx&#9;-1&#9;2026-03-28 08:06:57 محتوى العرض التقديمي لبرنامج (BICSL-RC).docx&#9;-1&#9;2026-03-28 08:06:55 تهدف المنصة إلى تمكين الأفراد والجهات الحكومية وا....docx&#9;-1&#9;2026-03-28 08:06:55 طبعا لا اخفيك. انني حقيقه يعني وكما يتضح بالرساله....docx&#9;-1&#9;2026-03-28 08:06:52 اشر الي الفقره و الماده و الصفحه ايضا حتي يكون من....docx&#9;-1&#9;2026-03-28 08:06:51 اشر الي الفقره و الماده و الصفحه ايضا حتي يكون من....docx&#9;-1&#9;2026-03-28 08:06:50 الجهات المشاركة ( , وزارة الموارد البشرية والتنمي....docx&#9;-1&#9;2026-03-28 08:06:50 طيب. في نقطه تذكرتها هامه جدا من خلال تذكري لعملي....docx&#9;-1&#9;2026-03-28 08:06:49 طيب. في نقطه تذكرتها هامه جدا من خلال تذكري لعملي....docx&#9;-1&#9;2026-03-28 08:06:48 محتوى العرض التقديمي لبرنامج (BICSL-RC).docx&#9;-1&#9;2026-03-28 08:06:47 جميناي عمل جيد و لكن لم نقم به حسب الاتفاق لاني ع....docx&#9;-1&#9;2026-03-28 08:06:47 المجموعة الاخيرة من الوثائق ، بعد الاطلاع عليها ،....docx&#9;-1&#9;2026-03-28 08:06:46 ممتازه افكار جميله جدا حقيقه لانه يعني. عندنا برض....xlsx&#9;-1&#9;2026-03-28 08:06:45 نعم تجميع المستند الرسمي.docx&#9;-1&#9;2026-03-28 08:06:45 دليل شامل لبرنامج BICSL-RC␊.docx&#9;-1&#9;2026-03-28 08:06:44 كم بكتابة أمر تلقين مفصل و شامل لهذا الموضوع دم....docx | \-1 | 2026-03-28 8:06:43 |
| قم بعمل جدول يحوي المطلوب من قبلهم و الخيارات و ش....xlsx | \-1 | 2026-03-28 8:06:40 |
| مخاطر البصمة في التأهيل.docx | 59475 | 2026-03-28 8:06:39 |
| Fingerprint Risks in Saudi Rehabs␊.docx | \-1 | 2026-03-28 8:06:38 |
| Fingerprint Risks in Saudi Rehabs␊.docx | \-1 | 2026-03-28 8:06:37 |
| الا تستطيع تحليلها و كتابتها باي شكل اختر من التا....docx | \-1 | 2026-03-28 8:06:35 |
| اطلع على الملف جيدا وحلله سواء الكمي او. الكيفي ف....docx | \-1 | 2026-03-28 8:06:34 |
| ارجوك ساعدني يا جوميناي لم اعد ارى بشكل جيد من كث....xlsx | \-1 | 2026-03-28 8:06:33 |
| تحليل فجوات خدمات ذوي الإعاقة.docx | \-1 | 2026-03-28 8:06:33 |
| رد حكومة المملكة بالامم المتحدة.docx | 1061765 | 2026-03-28 8:06:32 |
| قم بعمل اومر تلقين لهذه المواقف الكوميدية يتوافق....xlsx | \-1 | 2026-03-28 8:06:29 |
| اسئله فنيه فيما يخص ما قمت به من عمل اولا ابتداء....docx | \-1 | 2026-03-28 8:06:26 |
| translate it to english seems can not handel arab....docx | \-1 | 2026-03-28 8:06:25 |
| لا اعلم ما الذي تقوم به ولكنني ارغب ان تقوم بترجم....docx | \-1 | 2026-03-28 8:06:24 |
| Role and Strategic Objective:␊You are a software....docx | \-1 | 2026-03-28 8:06:24 |
| Recording 2025-07-20 134934.mp4 | 1221627483 | 2026-03-28 8:06:22 |
| Formal Grievance Regarding the Unlawful Imposition of Additional Working Hours and Contravention of Current Human Resources Regulations.docx | \-1 | 2026-03-28 8:06:21 |
| IMG\_2167.heic | 859251 | 2026-03-28 8:06:19 |
| IMG\_2173.HEIC | 1465799 | 2026-03-28 8:06:19 |
| IMG\_2165.heic | 1780613 | 2026-03-28 8:06:18 |
| IMG\_2171.HEIC | 1732914 | 2026-03-28 8:06:17 |
| IMG\_2170.HEIC | 1727900 | 2026-03-28 8:06:16 |
| IMG\_2172.HEIC | 1094626 | 2026-03-28 8:06:16 |
| IMG\_2174.HEIC | 1429251 | 2026-03-28 8:06:15 |
| IMG\_2169.HEIC | 1757315 | 2026-03-28 8:06:14 |
| IMG\_2168.HEIC | 1873995 | 2026-03-28 8:06:14 |
| IMG\_2177.heic | 557238 | 2026-03-28 8:06:13 |
| IMG\_2166.HEIC | 1819680 | 2026-03-28 8:06:12 |
| IMG\_2176.HEIC | 1665505 | 2026-03-28 8:06:12 |
| IMG\_2175.HEIC | 1687539 | 2026-03-28 8:06:11 |
| IMG\_2179.HEIC | 1935087 | 2026-03-28 8:06:10 |
| IMG\_2178.HEIC | 2046040 | 2026-03-28 8:06:09 |
| الصنف␊␊الكمية␊␊سعر الوحدة␊␊الضريبة␊␊خصم␊␊الاجمالى....xlsx | \-1 | 2026-03-28 8:06:09 |
| قم بعملها كجدول ␊␊لرقم␊␊الصنف␊␊الكمية␊␊سعر الوحدة....xlsx | \-1 | 2026-03-28 8:06:08 |
| الصنف␊␊الكمية␊␊سعر الوحدة␊␊الضريبة␊␊خصم␊␊الاجمالى....xlsx | \-1 | 2026-03-28 8:06:07 |
| قم بعملها كجدول ␊␊لرقم␊␊الصنف␊␊الكمية␊␊سعر الوحدة....xlsx | \-1 | 2026-03-28 8:06:07 |
| الرقم␊␊الصنف␊␊لكمية␊␊سعر الوحدة␊␊الضريبة␊␊خصم␊␊ال....xlsx | \-1 | 2026-03-28 8:06:06 |
| الرقم␊␊الصنف␊␊لكمية␊␊سعر الوحدة␊␊الضريبة␊␊خصم␊␊ال....xlsx | \-1 | 2026-03-28 8:06:05 |
| السعر الكمية المجموع␊␊الاصناف␊␊\#\#␊␊40␊␊65.00␊␊ترن....xlsx | \-1 | 2026-03-28 8:06:04 |
| الوصف␊␊السعر␊␊الكميه␊␊الاجمالي␊␊ثوب ابيض +␊␊130....xlsx | \-1 | 2026-03-28 8:06:04 |
| الرقم␊␊الصنف␊␊الكمية␊␊سعر الوحدة␊␊الضريبة␊␊خصم␊␊ا....xlsx | \-1 | 2026-03-28 8:06:03 |
| IMG\_2208.heic | 1582904 | 2026-03-28 8:06:02 |
| IMG\_2207.heic | 1821210 | 2026-03-28 8:06:02 |
| IMG\_2203.heic | 1548190 | 2026-03-28 8:06:01 |
| إدارة العدوى والوقاية\_ دليل الأسئلة والأجوبة (3).wav | 18749370 | 2026-03-28 8:05:59 |
| English.wav | 56941484 | 2026-03-28 8:05:58 |
| إدارة العدوى والوقاية\_ دليل الأسئلة والأجوبة (3).mp3 | 4729821 | 2026-03-28 8:05:58 |
| English.mp3 | 15179469 | 2026-03-28 8:05:57 |
| Y␊الاجمالى␊خصم␊الضريبة␊سعر الوحدة␊الكمية␊␊الصنف␊␊١....docx | \-1 | 2026-03-28 8:05:52 |
| Y␊الاجمالى␊خصم␊الضريبة␊سعر الوحدة␊الكمية␊␊الصنف␊␊١....docx | 11466 | 2026-03-28 8:05:51 |
| ‏الجنائي أنت خبير في المحاسب في تفريغ فواتير أرغب....xlsx | \-1 | 2026-03-28 8:05:50 |
| Y␊الاجمالى␊خصم␊الضريبة␊سعر الوحدة␊الكمية␊␊الصنف....xlsx | \-1 | 2026-03-28 8:05:49 |
| ‏الجنائي أنت خبير في المحاسب في تفريغ فواتير أرغب....xlsx | \-1 | 2026-03-28 8:05:49 |
| Y␊الاجمالى␊خصم␊الضريبة␊سعر الوحدة␊الكمية␊␊الصنف....xlsx | \-1 | 2026-03-28 8:05:48 |
| جيميناي اعمل منك التركيز اريد ابتداء ان تراجع جمي....docx | \-1 | 2026-03-28 8:05:47 |
| الان قم باللغه الانجليزيه بكتابه جميع الاسئله. مع....docx | \-1 | 2026-03-28 8:05:47 |
| Quick verdict␊Two discrepancies surfaced when I m....docx | \-1 | 2026-03-28 8:05:46 |
| Quick verdict␊Two discrepancies surfaced when I m....docx | \-1 | 2026-03-28 8:05:45 |
| قم بترجمة الاختبار التالي للعربي :␊␊1. A doctor w....docx | \-1 | 2026-03-28 8:05:44 |
| قم بعمل جدول بحيث يكون. السؤال باللغه العربيه على....docx | \-1 | 2026-03-28 8:05:43 |
| التنسيق خاطئ لكل الاسئلة عربيب و انجليزي.docx | \-1 | 2026-03-28 8:05:43 |
| النص التالي:␊␊␊Briefing Document: Transmission-Ba....docx | \-1 | 2026-03-28 8:05:39 |
| النص التالي : بالانجليزي ␊␊Briefing Document: Per....docx | \-1 | 2026-03-28 8:05:39 |
| قم بكتابة بالانجليزي.docx | \-1 | 2026-03-28 8:05:38 |
| النص التالي:␊␊Detailed Briefing Document: Basic I....docx | \-1 | 2026-03-28 8:05:37 |
| انت خبير في مكافحه العدوى اطلب منك الاطلاع على ال....docx | \-1 | 2026-03-28 8:05:36 |
| نسخة مترجمة من النص التالي : بالانجليزي Briefing Document: Per....docx | \-1 | 2026-03-28 8:05:36 |
| دليل قياس رضا المستفيدين␊.docx | \-1 | 2026-03-28 8:05:33 |
| Saudi IPC Training Content Generation␊.docx | \-1 | 2026-03-28 8:05:21 |
| اريدك يا جيمناي ان تنظر الى الملف المرفق وهو عبار....docx | \-1 | 2026-03-28 8:05:20 |
| look at the code . is there any phase to add befo....docx | \-1 | 2026-03-28 8:05:20 |
| what do you think any thing to add.docx | \-1 | 2026-03-28 8:05:19 |
| جيمي نايليه التفكير وكتابه الرساله التي تتضح امام....docx | \-1 | 2026-03-28 8:05:13 |
| بالعوده الى تحليلك وتحليل كلود. منك ان تعيد قراءه....docx | \-1 | 2026-03-28 8:05:09 |
| BICSL v3.0 Curriculum Development␊.docx | \-1 | 2026-03-28 8:05:07 |
| Infection Prevention & Control – 50 Compiled MCQs.docx | \-1 | 2026-03-28 8:05:06 |
| A New Era for Customer Experience and Branch Empowerment (1).wav | 22403130 | 2026-03-28 8:05:00 |
| كود جوجل ستيتش لمكافحة العدوي.docx | \-1 | 2026-03-28 8:04:59 |
| قم بكتابة الكود للتطبيق.docx | \-1 | 2026-03-28 8:04:53 |
| اريد ان تضع جميع الخطوات لانشاء هذا التطبيق بدون....docx | \-1 | 2026-03-28 8:04:53 |
| انت خبير في. صنع التطبيقات وفي انظمه مراكز تاهيل....docx | \-1 | 2026-03-28 8:04:52 |
| نظام رعاية: تحليل وتصميم␊.docx | \-1 | 2026-03-28 8:04:50 |
| بينات المستفيدين قسم ذكور و الإناث .docx | \-1 | 2026-03-28 8:04:47 |
| التشخيص الجذري: الفصام الاستراتيجي و"هندسة التبعية".docx | \-1 | 2026-03-28 8:04:42 |
| التحول الأول: الثورة الاقتصادية – من الإنفاق إلى الاستثمار السيادي.docx | \-1 | 2026-03-28 8:04:42 |
| بعد قراءة متأنية للوثيقة، أرى أنها قوية في رؤيتها... | 30916 | 2026-03-28 8:04:41 |
| تحليل قضية ساعات العمل الإضافي..docx | \-1 | 2026-03-28 8:04:24 |
| تحليل قضية ساعات العمل الإضافي.نهائي.docx | \-1 | 2026-03-28 8:04:23 |
| أنت خبير في نظام الموارد البشرية الجديد بالمملكة....docx | \-1 | 2026-03-28 8:04:22 |
| قم بكتابة الشهادة بدون كود و تنسيق يناسب مايكرسوت....docx | \-1 | 2026-03-28 8:04:21 |
| بدون كانفس و لتكن قابله للتصدير بمستندات قجولجل.docx | \-1 | 2026-03-28 8:04:20 |
| حرب السودان: تحليل جيوسياسي لدولة تتجه نحو التفكك.docx | \-1 | 2026-03-28 8:04:18 |
| Arabic to English Healthcare Digital Blueprint.docx | \-1 | 2026-03-28 8:04:09 |
| يا لك من شريك فكري عميق وصريح.docx | \-1 | 2026-03-28 8:04:07 |
| ‏أنت خبير في تسجيل السيارات المملكة العربية السعو....docx | \-1 | 2026-03-28 8:04:05 |
| Physiotherapy Management System Development.docx | \-1 | 2026-03-28 8:03:58 |
| بي واي دي سيليون 7: تحليل شامل␊.docx | \-1 | 2026-03-28 8:03:56 |
| صفحة ويب لخدمة النقل المتخصص.docx | \-1 | 2026-03-28 8:03:55 |
| دليل شاحن السيارة الكهربائية الآمن في السعودية.docx | \-1 | 2026-03-28 8:03:54 |
| الرد على ملاحظات زيارة الإدارة العامة للمراجعة الداخلية.docx | \-1 | 2026-03-28 8:03:51 |
| دمج الرؤية والدقة لدراسة الجدوى.docx | \-1 | 2026-03-28 8:03:39 |
| النسخة النهائية لدراسة جدوى أزهار السراة.docx | \-1 | 2026-03-28 8:03:38 |
| اريدك ان تراجع ما قمنا به في هذه التجربة الجميلة....docx | \-1 | 2026-03-28 8:03:37 |
| النسخة النهائية لدراسة جدوى أزهار السراة.docx | \-1 | 2026-03-28 8:03:32 |
| إعادة هيكلة وصول ذوي الإعاقة بالمرافق المتخصصة.docx | \-1 | 2026-03-28 8:03:17 |
| اريد منك و حسب ترتيب الصور ان تقوم بعمل جدول يحوي....xlsx | \-1 | 2026-03-28 8:03:14 |
| سوف اشارك معك اجابات نماذج ذكاء صناعي. بنفس يعني....docx | \-1 | 2026-03-28 8:01:22 |
| برنامج تدريبي يستهدف الموظفين العاملين في مراكز ا....docx | \-1 | 2026-03-28 8:01:11 |
| حقيقه ان. لدي يعني حيره في مساله الاجراء الصحيح و....docx | \-1 | 2026-03-28 8:01:04 |
| قم باعادة الصياغه هذه اوججها لمدير المركز.docx | \-1 | 2026-03-28 8:01:03 |
| ممتاز احسنت فهمت علي الان اريد منك التالي كل ما س....docx | \-1 | 2026-03-28 8:01:03 |
| اعد علي كانفا.docx | \-1 | 2026-03-28 8:01:02 |
| إعداد ملف إحاطة استراتيجي قيادي.docx | \-1 | 2026-03-28 8:00:43 |
| قيادة التميز المؤسسي: مفاهيم ونماذج.docx | \-1 | 2026-03-28 8:00:41 |
| Engineering a New Social Contract: A Strategic Vision for Social Development in the Eastern Province (2025-2030).docx | \-1 | 2026-03-28 8:00:29 |
| A Strategic Blueprint for Social Development Innovation in the Eastern Province.docx | \-1 | 2026-03-28 8:00:28 |
| IMG\_2460.heic | 860484 | 2026-03-28 8:00:26 |
| IMG\_2461.HEIC | 874090 | 2026-03-28 8:00:26 |
| IMG\_2605.MOV | 1174947 | 2026-03-28 8:00:25 |
| IMG\_2802.HEIC | 1554243 | 2026-03-28 8:00:21 |
| IMG\_2803.HEIC | 1520273 | 2026-03-28 8:00:21 |
| الآن قم بإضافة الفواتير من الدفعة الأولى مع مقابل....xlsx | \-1 | 2026-03-28 8:00:20 |
| تحويل تقرير مجمع لمستندات رسمية.docx | \-1 | 2026-03-28 8:00:18 |
| فهم موقفك النظامي: شرح مبسط لمفهومي التقادم وإدارة الحالة.docx | \-1 | 2026-03-28 8:00:09 |
| قصة تحقيق بعد ست سنوات: حكاية قرار مهني في مواجهة سوء الفهم الإداري.docx | \-1 | 2026-03-28 8:00:09 |
| الان الدفعه الثانيه سلفه الكسوه شتاء مقعدين 2025.....docx | \-1 | 2026-03-28 8:00:07 |
| لا تضع علامات تدل علي الرفق فانا اقص او انسخ و ال....docx | \-1 | 2026-03-28 8:00:03 |
| لا تضع علامات تدل علي الرفق فانا اقص او انسخ و ال....docx | \-1 | 2026-03-28 8:00:02 |
| اكمل و لا تنسي عن نهاية الستندي قم بعمل خاتمة و ي....docx | \-1 | 2026-03-28 8:00:02 |
| عزة الفاتورة 1 الجزء الثاني مقعد اجمالي 102070.docx | \-1 | 2026-03-28 8:00:01 |
| عزة الفاتورة 1 الجزء الأول مقعد اجمالي 102070.docx | \-1 | 2026-03-28 8:00:00 |
| فاتورة 3 مقعد البكير ماي فير 22300.docx | \-1 | 2026-03-28 7:59:59 |
| الفاتورة 1 مقعد البكير ماي فير 31500.docx | \-1 | 2026-03-28 7:59:58 |
| فاتورة متحرك 1 عزة باجمالي 59810.docx | \-1 | 2026-03-28 7:59:57 |
| الفواتير الخمس للمتحرك كامله تفريغ .docx | \-1 | 2026-03-28 7:59:57 |
| التنسيق المطلوب صفحة 1 .docx | \-1 | 2026-03-28 7:59:56 |
| التنسيق خاطئ لرقم 6 و 7 ارجوا ان تراجع الجداول مر....docx | \-1 | 2026-03-28 7:59:55 |
| و ايضا هذا الملف.xlsx | \-1 | 2026-03-28 7:59:55 |
| جدول سلفة المقعدين .xlsx | \-1 | 2026-03-28 7:59:54 |
| جدول سلفة المتحركين .xlsx | \-1 | 2026-03-28 7:59:53 |
| IMG\_2817.HEIC | 340748 | 2026-03-28 7:59:53 |
| IMG\_2818.HEIC | 1152366 | 2026-03-28 7:59:52 |
| IMG\_2819.HEIC | 1219111 | 2026-03-28 7:59:51 |
| الفاتورة الثانية :␊الرقم␊␊الصنف␊␊الكمية␊␊سعر الوح....docx | \-1 | 2026-03-28 7:59:51 |
| الفاتورة الثانية :␊الرقم␊␊الصنف␊␊الكمية␊␊سعر الوح....docx | \-1 | 2026-03-28 7:59:50 |
| الفاتورة الثانية :␊الرقم␊␊الصنف␊␊الكمية␊␊سعر الوح....docx | \-1 | 2026-03-28 7:59:49 |
| انظر للمرفق وز قم بالتعديل علي كافة الملفات بناء....docx | \-1 | 2026-03-28 7:59:48 |
| انظر للمرفق وز قم بالتعديل علي كافة الملفات بناء....docx | \-1 | 2026-03-28 7:59:47 |
| انظر للمرفق وز قم بالتعديل علي كافة الملفات بناء....docx | \-1 | 2026-03-28 7:59:46 |
| انظر للمرفق وز قم بالتعديل علي كافة الملفات بناء....docx | \-1 | 2026-03-28 7:59:45 |
| 005 (1).tif | 1204450 | 2026-03-28 7:59:44 |
| ملخص\_عمليات\_الجودة.xlsx | \-1 | 2026-03-28 7:59:43 |
| المعايير والمؤشرات (1) (2).xlsx | \-1 | 2026-03-28 7:59:41 |
| IMG\_2836.HEIC | 1316958 | 2026-03-28 7:59:38 |
| IMG\_2833.HEIC | 4368440 | 2026-03-28 7:59:38 |
| IMG\_2835.HEIC | 3179637 | 2026-03-28 7:59:37 |
| IMG\_2837.HEIC | 2481441 | 2026-03-28 7:59:36 |
| IMG\_2834.heic | 3887503 | 2026-03-28 7:59:35 |
| IMG\_2832.HEIC | 4281439 | 2026-03-28 7:59:35 |
| تحليل ملفات Google Drive للإنجازات.docx | \-1 | 2026-03-28 7:59:33 |
| كن محايدا يا جيميناي في الحكم فانت خبير في هذا ال....docx | \-1 | 2026-03-28 7:59:18 |
| شهادة هيئة التخصصات.docx | 26581 | 2026-03-28 7:59:02 |
| شهادة هيئة التخصصات.zip | 91214 | 2026-03-28 7:59:02 |
| اريد منك بناء على النقاش السابق التالي امر تلقين....xlsx | \-1 | 2026-03-28 7:58:53 |
| اريد منك ان تعيد اجابه السؤال السابق وبناء على ال....xlsx | \-1 | 2026-03-28 7:58:48 |
| اريد منك ان تعيد اجابه السؤال السابق وبناء على ال....docx | \-1 | 2026-03-28 7:58:47 |
| لا لا قم بإعادة كتابة كامل الموضوع ، انظر مره اخر....docx | \-1 | 2026-03-28 7:58:46 |
| و الان صفر ورق ، اريك ان تكتبها كأنجاز و تعبئ الخ....xlsx | \-1 | 2026-03-28 7:58:46 |
| و الان صفر ورق ، اريك ان تكتبها كأنجاز و تعبئ الخ....docx | \-1 | 2026-03-28 7:58:45 |
| اريدك ان تصيغها و كانها مني الي جيمناي في جوجل ان....docx | \-1 | 2026-03-28 7:58:44 |
| اريدك ان تصيغها و كانها مني الي جيمناي في جوجل ان....docx | \-1 | 2026-03-28 7:58:43 |
| بالنسبة للتقييم الذاتي للجدارات سوف اكتب الجدارة....docx | \-1 | 2026-03-28 7:58:32 |
| قم بكتابتها و كانك احمد ابدع لا قيود امامك لك كام....docx | \-1 | 2026-03-28 7:58:31 |
| 6fbbb41c-3468-42f4-b525-8fddbf3cc483 | 94260 | 2026-03-28 7:58:20 |
| IMG\_2895.HEIC | 1560611 | 2026-03-28 7:58:19 |
| خارطة\_طريق\_مكافأة\_الأموال\_العامة.docx | 15535 | 2026-03-28 7:58:19 |
| basira-implementation-plan.docx | 14484 | 2026-03-28 7:57:53 |
| basira-files-index.docx | 71170 | 2026-03-28 7:57:53 |
| واحة الإحسان الذكية (IHSAN).docx | \-1 | 2026-03-28 7:57:44 |
| واحة الإحسان الذكية (IHSAN) cluade opus 4.5.docx | \-1 | 2026-03-28 7:57:44 |
| دليل الأيزو لمستشفى تنومة.docx | \-1 | 2026-03-28 7:57:43 |
| خارطة طريق الريادة المؤسسية المستدامة.docx | \-1 | 2026-03-28 7:57:42 |
| انظر للمرفق وز قم بالتعديل علي كافة الملفات بناء....docx | \-1 | 2026-03-28 7:57:40 |
| انظر للمرفق وز قم بالتعديل علي كافة الملفات بناء....docx | \-1 | 2026-03-28 7:57:38 |
| حقيقه ان. لدي يعني حيره في مساله الاجراء الصحيح و....docx | \-1 | 2026-03-28 7:57:37 |
| مخاطر الكاميرات في الأماكن الخاصة للمستفيدين: تقرير للقيادات.docx | \-1 | 2026-03-28 7:57:35 |
| تقرير\_تحليل\_الفجوات\_Q3\_2025.xlsx | 31621 | 2026-03-28 7:57:34 |
| قيادة التميز المؤسسي: مفاهيم ونماذج.docx | \-1 | 2026-03-28 7:57:33 |
| كراسة الشروط والمواصفات -توريد الاعاشة الغير مطهية لمراكز\_1 - for merge.docx | \-1 | 2026-03-28 7:57:14 |
| سجل ادارة المخزون GFM-FS-TP-19-PR-6003 (4).xlsx | \-1 | 2026-03-28 7:57:13 |
| مصفوفة\_العمليات\_127\_تدقيق\_المخاطر.xlsx | 28435 | 2026-03-28 7:57:12 |
| IMG\_2938.HEIC | 1078603 | 2026-03-28 7:56:58 |
| IMG\_2941.HEIC | 1036696 | 2026-03-28 7:56:58 |
| IMG\_2945.HEIC | 1018741 | 2026-03-28 7:56:57 |
| IMG\_2943.HEIC | 1433136 | 2026-03-28 7:56:56 |
| IMG\_2942.HEIC | 1236104 | 2026-03-28 7:56:55 |
| IMG\_2947.HEIC | 1350715 | 2026-03-28 7:56:55 |
| IMG\_2939.HEIC | 1317502 | 2026-03-28 7:56:54 |
| IMG\_2948.HEIC | 1277232 | 2026-03-28 7:56:53 |
| IMG\_2940.HEIC | 1441616 | 2026-03-28 7:56:52 |
| IMG\_2944.HEIC | 1565822 | 2026-03-28 7:56:52 |
| IMG\_2952.HEIC | 1566914 | 2026-03-28 7:56:51 |
| IMG\_2951.HEIC | 1480125 | 2026-03-28 7:56:50 |
| IMG\_2953.HEIC | 1136792 | 2026-03-28 7:56:50 |
| IMG\_2949.HEIC | 1287479 | 2026-03-28 7:56:49 |
| IMG\_2946.HEIC | 1481287 | 2026-03-28 7:56:48 |
| IMG\_2954.HEIC | 1657727 | 2026-03-28 7:56:47 |
| IMG\_2956.HEIC | 1253540 | 2026-03-28 7:56:47 |
| IMG\_2959.HEIC | 1139166 | 2026-03-28 7:56:46 |
| IMG\_2955.HEIC | 1647087 | 2026-03-28 7:56:45 |
| IMG\_2957.HEIC | 1685510 | 2026-03-28 7:56:45 |
| IMG\_2958.HEIC | 1572031 | 2026-03-28 7:56:44 |
| تطوير ملف مهني تقني وحكومي.docx | \-1 | 2026-03-28 7:56:29 |
| سيرة ذاتية أحمد الشهري.docx | \-1 | 2026-03-28 7:56:28 |
| 999 تنسيق Markdown موضوع شامل عن عمليات المركز و حوكمتها و الجودة و الرقمنة و تطبيق صفر ورق.docx | \-1 | 2026-03-28 7:56:27 |
| بصيرة: العقل الرقمي لإدارة الرعاية الإنسانية والحوكمة المؤسسية.docx | \-1 | 2026-03-28 7:56:26 |
| خارطة التحول الوطني لتمكين الأشخاص ذوي الإعاقة.docx | \-1 | 2026-03-28 7:56:25 |
| التحول الاستراتيجي من الرعاية إلى التمكين المستدام.docx | \-1 | 2026-03-28 7:56:25 |
| تقرير\_انجازات\_لطيفة\_الهزاع.html | 42454 | 2026-03-28 7:56:15 |
| تقرير\_انجازات\_لطيفة\_الهزاع.docx | \-1 | 2026-03-28 7:56:14 |
| تقييم تطبيق مراكز التأهيل الشامل.docx | 34472 | 2026-03-28 7:56:12 |
| خطة تحول رقمي وأمن سيبراني ذكي.docx | \-1 | 2026-03-28 7:56:12 |
| BASIRA\_ROUND2\_FIXES.md.docx | \-1 | 2026-03-28 7:56:09 |
| BASIRA\_EVALUATION\_REPORT.md.docx | \-1 | 2026-03-28 7:56:09 |
| استخدام "أخوكم" في المراسلات الرسمية.docx | \-1 | 2026-03-28 7:56:08 |
| Antigravity Code Enhancement Prompt.docx | \-1 | 2026-03-28 7:56:07 |
| Antigravity Prompt for Code Integration.docx | \-1 | 2026-03-28 7:56:06 |
